id;type;title;description;icon_emoji;points;category;unlock_criteria;is_active;created_at
7b72a3ea-17ce-48c6-ad99-305d931f0f07;first_interest;Curiosity Spark;Added your first interest;🧭;10;exploration;;true;2026-03-08 12:46:41.837488+00
cd180448-d2d5-462e-9183-5b65a80bb001;ten_interests;Explorer;Mapped 10+ interests;🌟;25;exploration;;true;2026-03-08 12:46:41.837488+00
fb083489-aed2-48c1-a0d7-c6c0f51ac3e0;first_observation;Problem Spotter;Logged your first problem observation;🔍;15;exploration;;true;2026-03-08 12:46:41.837488+00
c788bee1-f993-4395-9e31-bec37f5b2c3c;first_idea_card;Idea Collector;Interacted with your first idea card;💡;10;exploration;;true;2026-03-08 12:46:41.837488+00
894626f3-1667-4417-9ec5-e4fcc759b8b0;first_startup_idea;Visionary;Created your first startup idea;🎯;20;exploration;;true;2026-03-08 12:46:41.837488+00
6107a830-8f40-4880-8089-ca1420ad797a;first_journal;Reflector;Wrote your first journal entry;📝;10;learning;;true;2026-03-08 12:46:41.837488+00
125a11b2-54d1-425c-9776-21d110e22ed9;five_journals;Deep Thinker;Wrote 5 journal entries;📓;30;learning;;true;2026-03-08 12:46:41.837488+00
87d30a8d-17d0-4ee3-8d69-b7544906f868;first_learning_track;Student;Started a learning track;📚;15;learning;;true;2026-03-08 12:46:41.837488+00
946e3dbe-45e7-4350-a5d9-ed2561c11af6;first_capsule;Knowledge Seeker;Completed a learning capsule;🎓;15;learning;;true;2026-03-08 12:46:41.837488+00
2b23b4d9-8e32-46ba-a0e1-15579e209945;first_project;Creator;Started your first project;🚀;20;building;;true;2026-03-08 12:46:41.837488+00
12aa7093-f2fa-40f3-85c9-bed2423991a3;first_lab_plan;Lab Scientist;Created your first lab plan;🧪;20;building;;true;2026-03-08 12:46:41.837488+00
c3e9f299-4d53-42c0-82c0-ad91f2db38a1;first_experiment;Experimenter;Ran your first MVP experiment;⚗️;25;building;;true;2026-03-08 12:46:41.837488+00
b5c66980-d40e-492c-8018-a42dda5a0b8a;first_milestone;Milestone Maker;Completed your first milestone;🏁;20;building;;true;2026-03-08 12:46:41.837488+00
