id;title;description;sector;tags;difficulty;source;created_at
ff59f756-33b2-4743-90f0-0a0a9ad1100d;Hyperlocal Delivery for Rural Areas;Many rural communities lack access to timely deliveries of essentials. How might you solve last-mile delivery in underserved areas?;social_impact;"[""logistics"",""rural"",""delivery""]";beginner;system;2026-03-08 08:18:42.75446+00
35bdaedd-41b1-4bfe-85da-554269b09e89;AI-Powered Study Buddy;Students struggle with self-paced learning. What if an AI could adapt to individual learning styles and provide personalized tutoring?;tech_innovation;"[""edtech"",""AI"",""learning""]";beginner;system;2026-03-08 08:18:42.75446+00
c48462e4-3194-4246-bd35-81dba6e762e6;Waste-to-Value Marketplace;Millions of tons of recyclable waste go to landfills. How can you create a marketplace connecting waste generators with recyclers?;social_impact;"[""sustainability"",""marketplace"",""recycling""]";intermediate;system;2026-03-08 08:18:42.75446+00
842892c4-c1ab-4bd2-9cc3-819d912b70cd;Mental Health Check-in App;Many young people don't seek help until crisis point. Design a daily check-in tool that detects early warning signs and connects users to support.;tech_innovation;"[""mental-health"",""wellness"",""app""]";beginner;system;2026-03-08 08:18:42.75446+00
c80f87e7-29cd-41ca-bf4d-337ff70fd342;Local Artisan E-commerce;Skilled artisans in small towns struggle to reach customers. Build a platform that connects local craftspeople with urban buyers.;creative_industries;"[""ecommerce"",""artisans"",""local""]";intermediate;system;2026-03-08 08:18:42.75446+00
0386a24f-c323-4c1d-a169-7c26e0781012;Community Skill Exchange;People have skills others need. Create a platform where neighbors teach each other — cooking, coding, carpentry, languages.;local_needs;"[""community"",""skills"",""exchange""]";beginner;system;2026-03-08 08:18:42.75446+00
b3186157-d551-4fc9-bd6b-c54177de3d2b;Sustainable Fashion Tracker;Fast fashion has a huge environmental footprint. How can technology help consumers make more sustainable fashion choices?;emerging_trends;"[""fashion"",""sustainability"",""tracking""]";intermediate;system;2026-03-08 08:18:42.75446+00
91c0f18b-37c8-4da1-a73d-3e8e2e6b78a4;Freelancer Financial Toolkit;Freelancers struggle with invoicing, tax planning, and savings. Design a financial management tool built specifically for gig workers.;tech_innovation;"[""fintech"",""freelancing"",""tools""]";intermediate;system;2026-03-08 08:18:42.75446+00
f3f8cb9e-3fe5-4f50-b7de-54e30a5cc819;Neighborhood Safety Network;Communities often lack real-time safety information. Build a hyperlocal safety alert and community watch platform.;local_needs;"[""safety"",""community"",""alerts""]";beginner;system;2026-03-08 08:18:42.75446+00
f4a763ac-202b-48c2-818c-1550f8fa7a9c;Agricultural Price Predictor;Small farmers lose money due to price volatility. Use data to help farmers predict optimal selling times and prices.;social_impact;"[""agritech"",""data"",""pricing""]";advanced;system;2026-03-08 08:18:42.75446+00
5b5b181b-3b85-45d6-a99f-8fabb8957f94;Peer Mentorship Matching;Students and early professionals need guidance but can't afford mentors. Build a peer-to-peer mentorship matching platform.;social_impact;"[""mentorship"",""matching"",""education""]";beginner;system;2026-03-08 08:18:42.75446+00
f93dd6a3-3e49-47f4-b9c9-59b19517e0b4;AR Heritage Tours;Historical sites lack engaging experiences for young visitors. Create augmented reality tours that bring history to life.;creative_industries;"[""AR"",""tourism"",""heritage""]";advanced;system;2026-03-08 08:18:42.75446+00
e10bf145-d104-42ee-b299-ba12e650781c;Micro-Volunteering Platform;Many people want to volunteer but lack time. Create a platform offering 15-minute volunteering tasks people can do from anywhere.;social_impact;"[""volunteering"",""social"",""micro-tasks""]";beginner;system;2026-03-08 08:18:42.75446+00
e3dd0d9c-8fa8-4601-89f4-a19b657bc8f2;Smart Water Usage Monitor;Water scarcity affects billions. Design an IoT-based water usage monitor for households and small businesses.;emerging_trends;"[""IoT"",""water"",""sustainability""]";intermediate;system;2026-03-08 08:18:42.75446+00
fa21915e-fdcc-41c5-9af4-ae3232329fc2;Content Creator Collaboration Hub;Independent creators struggle to find collaborators. Build a platform matching creators by style, audience, and goals.;creative_industries;"[""creators"",""collaboration"",""media""]";beginner;system;2026-03-08 08:18:42.75446+00
